,LineBackers,A,isHomeTeam,Distance,PlayerHeightInches,TimeSnapDiff,S,TightEnds,YardsToTouchdown,Season,TurfCode,Safeties,StadiumTypeCode,Age,IsPossTeamInLead,NoseTackles,isPlayDirectionLeft,Centers,Cornerbacks,DefensiveEnds,OffensiveGuards,HomeScoreBeforePlay,Y,Down,DefensiveTackles,isFirstDown,Quarter,DefendersInTheBox
8170,4,2.93,1,10,68,1.0,4.64,3,48,2017,1,2,1,24,0,0,0,1,2,1,2,24,28.23,1,2,0,4,8
8171,4,2.76,1,4,68,1.0,3.71,3,42,2017,1,2,1,24,0,0,0,1,2,1,2,24,30.35,2,2,0,4,8
8173,4,2.84,1,10,69,1.0,3.3,2,46,2017,2,2,1,24,0,0,1,2,1,2,2,0,23.82,1,2,0,1,7
8174,2,3.37,1,9,69,1.0,3.3,2,45,2017,2,3,1,24,0,0,1,2,2,2,2,0,25.19,2,2,0,1,7
8175,2,2.43,1,10,69,1.0,2.74,1,34,2017,2,2,1,24,0,0,1,2,3,3,2,0,21.24,3,1,0,1,7
8176,2,2.47,0,4,72,1.0,3.25,1,84,2017,2,2,1,31,1,0,0,1,3,2,2,3,22.61,2,2,0,1,7
8177,2,3.29,0,10,72,1.0,3.65,1,62,2017,2,2,1,31,1,0,0,1,3,2,2,3,22.17,2,2,0,1,7
8178,2,2.74,0,2,72,1.0,2.64,1,54,2017,2,2,1,31,1,0,0,1,3,2,2,3,21.72,3,2,0,1,7
8179,2,1.84,1,10,69,1.0,2.85,1,90,2017,2,2,1,24,0,0,1,2,3,2,2,3,22.12,1,2,0,1,7
8180,2,2.71,1,11,69,1.0,2.42,2,91,2017,2,3,1,24,0,0,1,2,2,2,2,3,21.29,2,2,0,1,7
8181,3,2.84,1,10,71,1.0,3.39,1,38,2017,2,2,1,27,0,0,1,2,2,2,2,3,25.35,1,2,0,1,7
8182,4,3.21,0,10,72,1.0,3.56,2,83,2017,2,2,1,24,1,0,0,1,2,2,2,10,25.6,1,1,0,1,7
8183,3,2.9,0,4,72,1.0,2.8,1,77,2017,2,2,1,24,1,0,1,1,3,2,2,10,23.71,2,1,0,2,7
8186,2,3.63,0,10,72,2.0,4.07,1,26,2017,2,2,1,24,1,0,1,1,3,2,2,10,21.76,2,2,0,2,7
8189,3,2.85,0,6,72,1.0,2.74,1,11,2017,2,2,1,31,1,0,1,1,3,2,2,10,29.38,2,1,0,2,7
8191,2,2.44,1,10,69,1.0,3.24,1,63,2017,2,2,1,24,0,0,0,2,3,2,2,10,29.76,1,2,0,2,7
8192,2,2.72,0,10,72,1.0,3.29,1,81,2017,2,2,1,31,1,0,1,1,3,2,2,10,31.09,1,2,0,2,7
8193,3,2.64,0,10,72,2.0,3.66,2,65,2017,2,2,1,24,1,0,1,1,2,3,2,10,27.95,1,1,0,2,7
8194,4,3.43,0,11,72,1.0,3.75,2,66,2017,2,2,1,24,1,0,1,1,2,2,2,10,24.75,2,1,0,2,8
8195,2,3.92,0,2,70,1.0,4.75,1,46,2017,2,2,1,23,1,0,1,1,3,2,2,10,32.51,3,2,0,2,7
8196,2,1.87,0,10,72,1.0,3.48,1,61,2017,2,2,1,24,1,0,0,1,3,2,2,10,30.13,1,2,0,3,7
8197,2,0.74,0,10,72,1.0,3.47,1,38,2017,2,2,1,24,1,0,0,1,3,2,2,10,30.76,1,2,0,3,7
8198,2,1.66,0,4,72,2.0,3.81,1,4,2017,2,2,1,31,1,0,0,1,3,2,2,10,30.06,1,2,0,3,7
8199,2,2.7,1,1,69,2.0,3.89,1,71,2017,2,2,1,24,0,0,1,2,3,2,2,10,29.73,2,2,0,3,7
8200,2,3.1,1,10,69,1.0,4.27,2,61,2017,2,3,1,24,0,0,1,2,2,2,2,10,26.34,1,2,0,3,6
8201,4,1.1,1,1,69,1.0,3.9,2,1,2017,2,1,1,24,0,0,1,2,0,2,3,10,22.52,2,4,0,3,11
8203,3,2.32,1,10,69,1.0,4.3,1,41,2017,2,2,1,24,0,0,1,2,2,2,2,17,30.15,1,2,0,3,7
8204,2,2.68,0,10,72,2.0,4.08,1,81,2017,2,2,1,24,1,0,0,1,3,3,2,17,24.6,1,1,0,3,6
8205,2,2.93,0,13,70,2.0,1.86,1,26,2017,2,2,1,23,1,0,1,1,3,2,2,17,32.91,2,2,0,4,7
8206,3,2.14,1,10,69,1.0,3.32,1,60,2017,2,2,1,24,0,0,0,2,2,2,2,17,23.01,1,2,0,4,7
8207,3,2.85,1,10,70,2.0,4.29,2,14,2017,2,2,1,24,0,0,0,2,2,2,2,17,31.58,1,2,0,4,7
8208,3,1.82,1,10,69,1.0,3.67,2,60,2017,2,2,1,24,0,0,0,2,2,2,2,24,23.68,1,2,0,4,7
8209,3,2.97,1,10,69,1.0,4.39,1,80,2017,2,2,1,24,0,0,0,2,2,2,2,24,25.5,1,2,0,4,8
8210,2,0.83,1,6,69,1.0,2.71,1,76,2017,2,2,1,24,0,0,0,2,3,2,2,24,26.21,2,2,0,4,7
8211,2,2.57,1,8,69,1.0,3.79,1,78,2017,2,2,1,24,0,0,0,2,3,2,2,24,25.86,3,2,0,4,8
8212,3,1.41,0,15,73,1.0,3.32,1,80,2017,2,2,1,25,0,0,0,1,2,2,3,0,28.81,1,2,0,1,7
8213,3,2.64,0,10,73,1.0,3.82,1,55,2017,2,2,1,25,0,0,0,1,2,2,3,0,30.9,1,2,0,1,8
8214,2,1.04,0,10,73,1.0,3.08,1,75,2017,2,2,1,25,1,0,0,1,3,2,3,3,24.14,1,2,0,1,6
8215,2,2.2,0,10,73,1.0,4.75,2,60,2017,2,2,1,25,1,0,1,1,3,2,3,10,26.99,1,2,0,2,6
8216,2,1.29,0,10,73,1.0,2.59,1,82,2017,2,2,1,25,1,0,1,1,3,2,3,10,24.34,2,2,0,2,6
8217,2,1.47,0,10,73,2.0,2.56,1,70,2017,2,1,1,25,1,0,1,1,4,3,3,10,28.83,1,1,0,2,6
8218,2,1.99,0,6,73,1.0,2.13,1,66,2017,2,2,1,25,1,0,1,1,3,2,3,10,28.52,2,2,0,2,6
8220,2,1.78,0,10,73,2.0,4.93,2,62,2017,2,2,1,25,1,0,1,1,3,2,3,17,33.94,1,2,0,3,6
8221,2,3.25,0,9,73,2.0,5.48,2,61,2017,2,2,1,25,1,0,1,1,3,2,3,17,33.6,2,2,0,3,6
8222,2,2.18,0,10,73,1.0,3.06,1,45,2017,2,1,1,25,1,0,1,1,4,2,3,17,30.5,1,2,0,3,6
8224,2,2.68,0,10,73,2.0,3.12,2,59,2017,2,2,1,22,1,0,1,1,3,2,3,20,31.19,1,2,0,3,6
8225,2,1.27,0,5,73,1.0,5.37,2,54,2017,2,2,1,22,1,0,1,1,3,2,3,20,28.32,2,2,0,3,6
8226,2,3.32,0,10,73,1.0,3.69,1,93,2017,2,1,1,25,1,0,0,1,4,2,3,20,28.94,1,2,0,4,6
8228,2,1.8,0,10,73,1.0,4.13,2,80,2017,2,1,1,25,1,0,0,1,4,2,3,20,26.59,1,2,0,4,6
8229,2,1.27,0,10,73,1.0,1.62,1,59,2017,2,1,1,25,0,0,0,1,4,2,3,20,28.06,1,2,0,4,6
8231,2,1.45,0,10,73,1.0,2.4,1,24,2017,2,1,1,25,0,0,0,1,4,3,3,20,24.76,1,1,0,4,7
8232,3,1.92,0,10,73,1.0,5.36,1,24,2017,2,1,1,25,0,0,0,1,3,2,3,20,25.51,3,2,0,4,7
8233,3,3.42,0,10,69,2.0,4.22,1,70,2017,2,2,3,27,0,1,1,1,2,2,2,0,24.7,1,1,0,1,7
8234,3,1.15,0,10,70,1.0,2.97,1,40,2017,2,2,3,22,0,1,1,1,2,2,2,0,32.06,1,1,0,1,7
8235,3,1.91,0,10,69,2.0,3.42,1,12,2017,2,3,3,27,0,1,1,1,2,1,2,0,24.41,1,1,0,1,8
8236,3,3.95,1,10,68,1.0,4.9,1,75,2017,2,2,3,25,1,0,0,1,2,1,2,0,27.5,1,3,0,1,7
8237,3,2.7,1,10,68,1.0,3.58,2,57,2017,2,2,3,25,1,0,0,1,2,1,2,0,22.6,1,3,0,1,7
8238,3,2.15,1,5,68,1.0,3.65,2,52,2017,2,2,3,25,1,0,0,1,2,1,2,0,26.29,2,3,0,1,8
8239,1,3.32,1,10,73,1.0,4.48,1,15,2017,2,2,3,24,1,0,0,1,3,2,2,0,32.45,1,3,0,1,7
8240,1,3.46,1,5,68,2.0,5.31,1,10,2017,2,2,3,25,1,0,0,1,3,2,2,0,32.77,2,3,0,1,6
8241,3,2.54,0,10,69,1.0,3.54,2,93,2017,2,3,3,27,0,1,1,1,2,1,2,3,24.82,1,1,0,1,8
8242,3,2.45,0,10,69,1.0,3.91,1,59,2017,2,3,3,27,0,1,1,1,2,1,2,3,21.91,2,1,0,1,8
8243,3,3.25,1,10,73,2.0,4.05,1,81,2017,2,2,3,24,0,0,0,1,2,1,2,3,32.14,2,3,0,1,8
8244,3,2.69,0,10,69,1.0,4.28,1,74,2017,2,2,3,27,0,0,1,1,2,2,2,3,32.37,1,2,0,1,8
8245,3,2.17,0,10,69,1.0,4.46,2,48,2017,2,2,3,27,0,1,0,1,2,2,3,3,32.79,1,1,0,2,8
8246,3,2.18,0,8,69,2.0,3.44,1,46,2017,2,2,3,27,0,1,0,1,2,2,2,3,31.16,2,1,0,2,8
8247,3,2.33,1,10,68,2.0,4.28,1,53,2017,2,2,3,25,0,0,1,1,2,2,2,3,26.26,2,2,0,2,8
8248,3,4.09,1,10,68,1.0,4.88,2,39,2017,2,2,3,25,0,0,1,1,2,1,2,3,26.55,1,3,0,2,7
8249,2,1.89,1,2,68,1.0,2.27,1,31,2017,2,2,3,25,0,0,1,1,3,1,2,3,21.77,2,3,0,2,7
8251,1,3.85,1,10,68,1.0,4.94,1,15,2017,2,2,3,25,0,0,1,1,3,2,2,3,26.28,1,3,0,2,6
8252,2,1.77,1,1,68,1.0,3.31,2,1,2017,2,3,3,25,0,1,1,1,0,2,2,3,26.87,1,4,0,2,11
8255,2,3.04,1,10,73,1.0,3.19,1,68,2017,2,2,3,24,0,0,1,1,3,2,2,10,22.02,1,2,0,2,6
8257,2,2.77,0,8,69,2.0,3.59,1,8,2017,2,2,3,27,0,1,0,1,3,2,2,10,31.05,2,1,0,3,7
8258,2,3.22,1,10,68,1.0,4.91,1,75,2017,2,2,3,25,1,0,1,1,3,1,2,10,20.06,1,3,0,3,6
8259,2,3.88,1,10,68,2.0,5.37,0,40,2017,2,2,3,25,1,0,1,1,3,1,2,10,20.15,1,3,0,3,6
8261,3,3.25,1,10,68,2.0,4.59,1,13,2017,2,2,3,25,1,0,1,1,2,1,2,10,26.98,1,3,0,3,8
8262,3,2.39,0,10,69,2.0,4.34,2,95,2017,2,2,3,27,0,1,0,1,2,2,2,10,26.73,1,1,0,3,8
8263,3,2.29,1,10,73,2.0,4.35,1,54,2017,2,2,3,24,1,0,1,1,2,1,2,10,26.68,1,3,0,3,7
8264,3,3.66,1,10,68,2.0,5.31,1,69,2017,2,2,3,25,1,0,1,1,2,1,2,10,26.8,1,3,0,3,8
8265,2,3.06,1,4,68,2.0,4.8,1,63,2017,2,2,3,25,1,0,1,1,3,1,2,10,32.46,2,3,0,3,7
8266,3,3.98,1,10,68,1.0,5.17,2,50,2017,2,2,3,25,1,0,1,1,2,2,2,10,26.11,1,2,0,3,7
8268,3,3.16,1,10,73,2.0,4.25,1,43,2017,2,2,3,24,1,0,0,1,2,1,2,10,26.11,1,3,0,4,8
8270,2,3.95,1,10,68,1.0,4.72,2,33,2017,2,3,3,25,1,0,0,1,2,1,2,10,26.77,1,3,0,4,7
8271,1,2.65,1,10,68,1.0,3.95,2,14,2017,2,2,3,25,1,0,0,1,3,2,2,10,31.69,1,3,0,4,7
8272,2,3.55,0,10,69,2.0,5.52,1,68,2017,2,2,3,27,0,0,1,1,3,3,2,17,33.94,1,1,0,4,6
8273,2,2.76,1,10,73,1.0,4.11,0,50,2017,2,2,3,24,0,0,0,1,3,1,2,17,31.98,1,3,0,4,7
8274,2,0.59,1,4,73,2.0,1.93,2,44,2017,2,3,3,24,0,0,0,1,2,1,2,17,28.57,2,3,0,4,7
8275,3,2.5,1,10,68,2.0,4.27,1,33,2017,2,2,3,25,0,0,0,1,2,2,2,17,27.19,1,2,0,4,8
8276,3,2.44,0,1,69,1.0,2.88,1,24,2017,2,2,3,27,1,1,1,1,3,1,2,20,24.68,2,1,0,4,7
8277,1,2.07,1,10,68,1.0,3.73,2,80,2017,2,3,3,25,0,0,0,1,2,2,2,20,28.49,1,3,0,4,8
8278,3,3.14,1,7,68,2.0,4.64,1,77,2017,2,2,3,25,0,0,0,1,2,1,2,20,32.42,2,3,0,4,7
8279,3,2.63,1,10,71,2.0,3.23,1,67,2017,2,2,1,29,0,0,1,1,2,1,2,0,24.44,1,3,0,1,8
8281,3,2.15,1,10,71,1.0,3.69,1,55,2017,2,2,1,29,0,0,1,1,2,1,2,0,22.03,1,3,0,1,8
8282,3,2.18,1,11,71,2.0,3.69,1,56,2017,2,2,1,29,0,0,1,1,3,1,2,0,26.88,2,2,0,1,7
8283,3,2.21,1,10,73,2.0,3.21,2,45,2017,2,2,1,28,0,0,1,1,2,1,2,0,23.33,1,3,0,1,7
8284,3,2.18,0,10,69,2.0,3.54,2,62,2017,2,2,1,34,0,0,0,1,2,2,1,0,25.02,1,2,0,1,7
8285,3,1.75,0,6,69,2.0,2.48,1,58,2017,2,2,1,34,0,0,0,1,2,2,1,0,22.29,2,2,0,1,6
8287,3,1.27,0,10,69,1.0,3.79,2,50,2017,2,2,1,34,0,0,0,1,2,2,1,0,22.18,1,2,0,1,8
8288,3,1.5,0,8,69,2.0,4.03,2,48,2017,2,2,1,34,0,0,0,1,2,2,1,0,26.24,2,2,0,1,8
8289,2,1.61,0,4,69,2.0,3.7,1,44,2017,2,2,1,34,0,0,0,1,3,2,1,0,26.76,3,2,0,1,7
8292,3,1.1,0,10,72,1.0,4.25,2,18,2017,2,2,1,21,0,0,0,1,2,2,1,0,26.87,1,2,0,1,8
8293,3,2.45,0,13,69,2.0,4.74,1,21,2017,2,2,1,34,0,0,0,1,2,2,1,0,22.45,2,2,0,1,7
8294,2,0.76,0,6,69,1.0,4.29,1,14,2017,2,2,1,34,0,0,0,1,3,2,1,0,21.71,3,2,0,1,7
8295,4,1.32,1,10,71,2.0,4.72,2,77,2017,2,2,1,29,0,0,1,1,2,0,2,0,21.43,1,3,0,1,7
8296,4,2.15,1,5,71,1.0,4.49,2,72,2017,2,2,1,29,0,0,1,1,2,0,2,0,22.42,2,3,0,1,8
8298,3,1.75,1,10,71,2.0,4.91,2,66,2017,2,2,1,29,0,0,0,1,2,1,2,0,27.36,1,3,0,2,6
8299,3,3.84,1,3,71,1.0,3.5,2,59,2017,2,2,1,29,0,0,0,1,2,1,2,0,21.38,2,3,0,2,8
8300,3,1.13,0,10,69,1.0,3.03,2,85,2017,2,2,1,34,0,0,1,1,2,2,2,0,22.57,1,2,0,2,9
8301,3,1.68,0,10,69,2.0,4.08,2,85,2017,2,2,1,34,0,0,1,1,2,2,1,0,21.25,2,2,0,2,7
8302,2,2.54,0,6,69,2.0,3.22,1,81,2017,2,2,1,34,0,0,1,1,3,2,1,0,20.75,3,2,0,2,7
8303,3,2.09,1,10,71,1.0,3.65,1,55,2017,2,2,1,29,0,0,0,1,2,1,2,0,25.73,1,3,0,2,7
8305,3,1.41,0,10,69,2.0,3.91,2,62,2017,2,2,1,34,0,0,1,1,2,2,1,0,31.27,1,2,0,2,7
8307,3,0.82,0,10,69,2.0,2.83,2,51,2017,2,2,1,34,0,0,1,1,2,2,1,0,22.79,1,2,0,2,7
8308,3,1.39,0,10,69,1.0,3.83,2,37,2017,2,2,1,34,0,0,1,1,2,2,1,0,33.66,1,2,0,2,7
8309,3,1.37,0,10,72,1.0,3.29,2,37,2017,2,2,1,21,0,0,1,1,2,2,1,0,31.81,2,2,0,2,7
8310,2,2.88,0,10,72,1.0,4.81,1,37,2017,2,2,1,21,0,0,1,1,3,2,1,0,27.24,3,2,0,2,7
8311,3,2.34,1,9,71,1.0,4.37,2,97,2017,2,3,1,29,0,0,0,1,1,0,2,0,24.81,2,4,0,2,8
8312,3,1.61,0,20,69,1.0,4.26,2,55,2017,2,2,1,34,0,0,1,1,2,2,1,0,20.89,2,2,0,2,7
8313,2,2.55,0,16,69,1.0,4.63,1,51,2017,2,2,1,34,0,0,1,1,3,2,1,0,21.59,3,2,0,2,7
8314,3,0.85,1,10,71,1.0,4.17,1,80,2017,2,1,1,29,0,0,0,1,3,1,2,0,25.1,1,3,0,2,7
8317,3,2.34,0,10,69,1.0,4.03,3,60,2017,2,2,1,34,1,0,0,1,2,2,1,7,24.93,1,2,0,3,8
8318,3,1.23,0,7,69,2.0,3.57,2,57,2017,2,2,1,34,1,0,0,1,2,2,1,7,32.94,2,2,0,3,7
8319,2,1.69,0,5,69,1.0,3.24,1,55,2017,2,2,1,34,1,0,0,1,3,2,1,7,33.36,3,2,0,3,7
8320,3,1.53,1,10,71,2.0,4.46,1,92,2017,2,2,1,29,0,0,1,1,2,1,2,7,25.33,1,3,0,3,8
8321,3,2.04,1,11,71,2.0,3.78,2,93,2017,2,2,1,29,0,0,1,1,2,1,2,7,31.17,2,3,0,3,7
8322,3,2.99,1,10,73,2.0,5.2,2,80,2017,2,2,1,28,0,0,1,1,2,1,2,7,19.57,1,3,0,3,8
8323,3,0.71,1,4,71,2.0,4.84,1,74,2017,2,3,1,29,0,0,1,1,1,0,2,7,26.59,3,4,0,3,8
8325,3,2.01,0,9,69,2.0,3.9,2,62,2017,2,2,1,34,1,0,0,1,2,2,1,7,26.02,2,2,0,3,7
8326,4,2.57,1,10,71,1.0,3.94,2,77,2017,2,2,1,29,0,0,1,1,2,0,2,7,24.74,1,3,0,3,8
8327,2,0.73,1,6,71,2.0,5.26,1,73,2017,2,2,1,29,0,0,1,1,3,1,2,7,34.16,3,3,0,3,7
8328,3,2.93,0,10,72,2.0,4.43,2,62,2017,2,2,1,21,1,0,0,1,2,2,1,7,20.99,2,2,0,3,7
8329,3,3.15,0,10,69,1.0,4.55,3,49,2017,2,2,1,34,1,0,0,1,2,2,1,7,25.5,1,2,0,3,5
8331,3,2.77,0,10,69,1.0,4.51,2,38,2017,2,2,1,34,1,0,0,1,2,2,1,7,27.46,2,2,0,3,5
8332,3,2.09,1,10,71,1.0,3.35,2,70,2017,2,2,1,29,0,0,0,1,2,1,2,7,28.94,1,3,0,4,8
8333,3,2.16,1,9,71,1.0,3.81,1,69,2017,2,2,1,29,0,0,0,1,2,1,2,7,28.19,2,3,0,4,7
8335,2,3.39,1,10,73,1.0,5.06,1,60,2017,2,2,1,28,0,0,0,1,3,1,2,7,19.93,1,3,0,4,7
8336,2,2.46,1,9,71,2.0,2.96,1,59,2017,2,2,1,29,0,0,0,1,3,1,2,7,26.83,3,3,0,4,7
8337,3,0.88,0,10,69,2.0,3.29,2,77,2017,2,2,1,34,1,0,1,1,2,2,1,7,21.26,2,2,0,4,7
8339,3,1.94,0,10,72,1.0,3.97,2,66,2017,2,2,1,21,1,0,1,1,2,2,1,7,25.47,2,2,0,4,7
8340,2,1.3,0,15,69,2.0,3.41,1,61,2017,2,2,1,34,1,0,1,1,3,2,1,7,32.21,2,2,0,4,7
8341,3,1.72,0,10,69,2.0,3.74,2,40,2017,2,2,1,34,1,0,1,1,2,2,1,7,32.7,1,2,0,4,7
8342,3,1.87,0,8,69,2.0,4.06,2,38,2017,2,2,1,34,1,0,1,1,2,2,1,7,27.94,2,2,0,4,7
8343,3,1.83,0,10,69,1.0,4.07,2,28,2017,2,2,1,34,1,0,1,1,2,2,1,7,27.43,1,2,0,4,7
8345,2,2.32,0,10,72,2.0,2.91,1,14,2017,2,2,1,21,1,0,1,1,3,2,1,7,31.24,1,2,0,4,7
8346,3,0.64,0,10,69,1.0,3.93,2,28,2017,2,2,1,34,0,0,1,1,2,2,1,7,26.4,1,2,0,4,8
8347,2,1.54,0,10,75,1.0,2.84,2,75,2017,1,3,1,27,0,0,0,0,2,2,2,0,26.74,1,2,0,1,7
8348,2,0.21,0,7,75,1.0,2.47,1,72,2017,1,3,1,27,0,0,0,0,2,2,2,0,27.48,2,2,0,1,8
8349,2,3.5,0,10,69,1.0,2.31,1,64,2017,1,3,1,25,0,1,0,0,2,2,2,0,32.24,1,1,0,1,8
8351,2,2.07,0,10,75,2.0,4.03,2,62,2017,1,3,1,27,1,0,0,0,2,2,2,7,28.96,1,2,0,1,7
8352,2,1.89,0,10,69,2.0,5.35,0,33,2017,1,2,1,25,1,1,0,0,3,2,2,7,21.94,1,1,0,1,6
8354,3,2.31,1,10,70,2.0,2.97,3,57,2017,1,2,1,30,0,1,1,1,2,2,2,7,23.65,1,1,0,1,7
8355,3,2.9,1,10,71,1.0,3.93,2,42,2017,1,2,1,21,0,1,1,1,2,2,2,7,22.17,1,1,0,1,6
8357,2,2.18,1,10,71,2.0,2.91,1,31,2017,1,2,1,21,0,0,1,1,3,2,2,7,22.66,1,2,0,1,6
8358,2,2.41,1,5,70,2.0,3.29,1,5,2017,1,2,1,30,0,1,0,1,3,2,2,7,27.34,2,1,0,2,6
8360,2,2.73,1,10,70,1.0,2.94,1,72,2017,1,2,1,30,0,1,0,1,3,2,2,14,22.55,2,1,0,2,7
8361,2,3.9,0,6,75,1.0,5.13,2,86,2017,1,3,1,27,1,0,1,0,2,2,2,14,26.38,2,2,0,2,7
8362,2,3.76,0,10,69,1.0,4.31,1,74,2017,1,2,1,25,1,1,1,0,3,2,2,14,24.32,1,1,0,2,7
8363,2,1.87,0,10,69,1.0,4.56,2,44,2017,1,2,1,25,1,1,1,0,3,2,2,14,26.18,1,1,0,2,6
8365,3,3.02,1,10,70,1.0,3.72,3,75,2017,1,2,1,30,0,1,0,1,2,2,2,14,28.89,1,1,0,2,8
8367,3,1.97,1,10,70,2.0,2.99,3,61,2017,1,2,1,30,0,1,0,1,2,2,2,14,29.9,1,1,0,2,8
8368,2,2.32,0,10,69,1.0,3.3,1,68,2017,1,2,1,25,1,0,1,0,3,2,2,14,22.69,2,2,0,2,6
8369,2,2.21,1,10,71,2.0,4.34,1,75,2017,1,2,1,21,0,0,1,1,3,2,2,14,26.91,1,2,0,3,7
8370,3,1.93,1,2,70,2.0,3.15,3,53,2017,1,2,1,30,0,1,1,1,2,2,2,14,22.22,2,1,0,3,8
8371,2,2.48,1,10,71,1.0,3.5,1,21,2017,1,2,1,21,0,1,1,1,3,2,2,14,24.21,1,1,0,3,6
8372,2,3.07,1,10,71,2.0,2.35,1,31,2017,1,2,1,21,0,1,1,1,3,2,2,21,25.48,2,1,0,3,6
8373,2,1.86,0,10,75,1.0,2.7,1,75,2017,1,3,1,27,1,0,0,0,2,2,2,24,26.69,1,2,0,3,7
8375,3,1.91,1,11,70,1.0,2.67,2,99,2017,1,2,1,30,0,1,1,1,2,2,2,24,28.77,1,1,0,3,8
8376,2,1.48,0,10,75,1.0,4.3,1,30,2017,1,2,1,27,1,0,0,0,3,2,3,24,26.51,1,2,0,3,6
8377,3,2.29,1,10,70,1.0,3.32,3,56,2017,1,2,1,30,0,0,0,1,2,2,2,24,29.18,1,2,0,4,8
8378,3,2.41,1,10,70,1.0,3.05,3,43,2017,1,2,1,30,0,1,0,1,2,2,2,24,23.93,1,1,0,4,8
8379,2,2.13,0,5,75,1.0,2.52,1,47,2017,1,2,1,27,1,0,1,0,3,2,3,24,24.75,2,2,0,4,6
8380,2,2.85,1,5,70,1.0,2.65,1,67,2017,1,2,1,30,0,1,0,1,3,2,2,24,27.54,2,1,0,4,6
8381,2,2.37,1,10,71,2.0,2.54,1,75,2017,1,2,1,21,0,1,0,1,3,2,2,24,24.58,2,1,0,4,7
8382,2,2.02,0,6,75,2.0,2.86,1,6,2017,1,2,1,27,1,0,1,0,3,2,3,24,28.04,1,2,0,4,8
8383,2,3.9,1,10,71,2.0,5.33,1,75,2017,1,2,1,21,0,0,0,1,3,2,2,24,31.02,1,2,0,4,6
8384,3,2.38,1,8,70,1.0,3.01,3,8,2017,1,2,1,30,0,1,0,1,2,2,2,24,30.5,1,1,0,4,8
8385,3,2.52,1,5,70,2.0,3.14,3,5,2017,1,2,1,30,0,1,0,1,2,2,2,24,29.33,2,1,0,4,8
8390,3,5.4,0,10,72,2.0,3.57,1,68,2017,2,2,1,23,0,0,1,0,2,2,3,0,29.45,1,2,0,1,6
8392,3,0.66,0,10,72,2.0,5.9,2,78,2017,2,2,1,23,1,0,1,0,2,2,3,7,18.52,1,2,0,1,8
8394,2,2.07,0,10,72,1.0,3.76,1,12,2017,2,2,1,23,1,0,0,0,3,2,3,7,23.17,1,2,0,2,7
8395,3,0.32,0,10,72,2.0,3.4,2,95,2017,2,2,1,23,0,0,0,0,2,2,3,7,26.37,1,2,0,2,8
8396,3,2.75,0,10,72,1.0,3.99,1,79,2017,2,2,1,23,0,0,0,0,2,2,3,7,23.29,1,2,0,2,9
8397,3,3.09,0,10,72,1.0,2.86,2,67,2017,2,2,1,23,0,0,0,0,2,2,3,7,22.68,1,2,0,2,8
8399,3,1.23,0,1,72,2.0,6.7,2,9,2017,2,2,1,23,0,0,0,0,2,2,3,7,17.4,2,2,0,2,8
8401,3,3.06,0,10,72,1.0,3.75,1,59,2017,2,2,1,23,0,0,0,0,2,2,3,7,29.51,1,2,0,3,7
8402,2,2.95,0,10,72,1.0,3.49,1,65,2017,2,2,1,23,0,0,0,0,3,2,3,7,27.54,1,2,0,3,6
8403,2,1.83,0,10,72,1.0,2.94,2,47,2017,2,2,1,23,0,0,0,0,3,2,3,7,32.14,1,2,0,3,7
8404,2,1.8,0,5,66,2.0,4.95,2,42,2017,2,2,1,22,0,0,0,0,3,2,3,7,35.11,2,2,0,3,7
8407,3,1.63,0,10,72,2.0,6.22,2,29,2017,2,2,1,23,0,0,0,0,2,2,3,7,34.98,1,2,0,3,8
8409,3,3.47,0,10,66,2.0,3.53,2,11,2017,2,2,1,22,0,0,0,0,2,2,3,7,26.31,1,2,0,3,8
8410,2,0.95,0,10,72,2.0,2.42,1,65,2017,2,2,1,23,0,0,1,0,3,2,3,7,27.2,1,2,0,4,7
8411,2,2.77,0,11,72,2.0,4.55,1,66,2017,2,2,1,23,0,0,1,0,3,2,3,7,25.55,2,2,0,4,6
8412,3,0.77,0,10,72,2.0,6.49,3,16,2017,2,2,1,23,0,0,1,0,2,2,3,7,22.94,1,2,0,4,8
8414,3,1.31,0,10,66,2.0,5.79,1,64,2017,2,2,1,22,0,0,1,0,2,2,3,7,23.66,1,2,0,4,7
8415,3,2.43,0,15,66,2.0,6.32,1,69,2017,2,2,1,22,0,0,1,0,2,2,3,7,29.09,2,2,0,4,7
8416,2,2.55,0,16,66,1.0,2.87,1,70,2017,2,1,1,22,0,0,1,0,4,3,3,7,29.64,3,1,0,4,5
8417,2,3.98,0,10,66,2.0,2.84,1,54,2017,2,2,1,22,0,0,1,0,3,2,3,7,29.33,1,2,0,4,7
8418,2,0.21,0,5,66,2.0,6.08,1,49,2017,2,2,1,22,0,0,1,0,3,2,3,7,36.41,2,2,0,4,6
8419,2,2.02,0,2,66,2.0,1.89,1,46,2017,2,2,1,22,0,0,1,0,3,2,3,7,30.0,3,2,0,4,7
8420,2,1.08,0,3,66,1.0,5.7,1,47,2017,2,2,1,22,0,0,1,0,3,2,3,7,18.87,4,2,0,4,7
8421,4,1.93,0,10,72,1.0,2.99,1,62,2017,1,2,1,22,0,0,1,1,2,1,3,0,27.81,1,2,0,1,8
8422,4,2.28,0,10,72,1.0,3.37,2,47,2017,1,2,1,22,0,0,1,1,2,1,2,0,24.55,1,2,0,1,7
8423,3,2.82,0,7,72,1.0,4.09,1,44,2017,1,2,1,22,0,0,1,1,3,1,2,0,22.92,2,2,0,1,6
